Open,High,Low,Close,Volume,EMA,EMAA,vwap,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3
13216.75,13217.75,13216.25,13216.5,78.0,13217.150000000001,13217.083333333334,13216.5,13221.171002924119,13211.828997075881,13225.842005848237,13207.157994151763,13230.513008772356,13202.486991227644
13216.25,13216.5,13215.75,13216.25,16.0,13217.03,13216.89814814815,13216.45744680851,13221.128449732629,13211.786443884392,13225.799452656747,13207.115440960273,13230.470455580866,13202.444438036155
13216.5,13217.0,13216.0,13216.75,18.0,13216.992666666667,13216.86522633745,13216.504464285714,13221.175467209832,13211.833461361595,13225.84647013395,13207.162458437477,13230.51747305807,13202.491455513358
13217.0,13217.25,13216.0,13216.0,29.0,13216.860311111112,13216.672953818017,13216.400709219859,13221.071712143977,13211.72970629574,13225.742715068096,13207.058703371622,13230.413717992215,13202.387700447503
13216.5,13217.25,13216.5,13217.25,17.0,13216.912269629629,13216.801186302902,13216.492088607594,13221.163091531713,13211.821085683476,13225.834094455831,13207.150082759357,13230.50509737995,13202.479079835239
13216.75,13218.5,13216.5,13218.5,19.0,13217.123967012347,13217.178700457815,13216.707627118643,13221.378630042762,13212.036624194525,13226.04963296688,13207.365621270406,13230.720635890999,13202.694618346288
13218.0,13218.75,13217.75,13218.5,35.0,13217.307438077369,13217.472322578302,13217.003537735849,13221.674540659968,13212.33253481173,13226.345543584086,13207.661531887612,13231.016546508205,13202.990528963493
13219.0,13220.25,13219.0,13220.25,53.0,13217.699779667055,13218.089584227568,13217.65283018868,13222.323833112798,13212.98182726456,13226.994836036916,13208.310824340442,13231.665838961035,13203.639821416324
13220.5,13221.0,13219.0,13219.25,54.0,13217.906475711447,13218.34745439922,13217.923197492162,13222.59420041628,13213.252194568044,13227.2652033404,13208.581191643925,13231.936206264518,13203.910188719807
13218.75,13218.75,13217.5,13218.25,23.0,13217.95227894992,13218.32579786606,13217.945175438597,13222.616178362716,13213.274172514479,13227.287181286834,13208.60316959036,13231.958184210953,13203.932166666242
13218.5,13219.25,13217.75,13218.5,32.0,13218.025308423265,13218.364509451381,13217.992647058823,13222.663649982942,13213.321644134705,13227.33465290706,13208.650641210586,13232.005655831179,13203.979638286468
13218.75,13219.75,13218.75,13219.75,15.0,13218.255267300163,13218.672396239965,13218.060411311055,13222.731414235173,13213.389408386936,13227.402417159292,13208.718405462818,13232.07342008341,13204.0474025387
13220.0,13223.75,13219.25,13223.0,80.0,13218.887898326808,13219.634085964419,13218.902985074626,13223.573987998745,13214.231982150508,13228.244990922864,13209.56097922639,13232.915993846982,13204.889976302271
13222.5,13225.0,13222.5,13223.5,61.0,13219.502845216566,13220.493177972325,13219.432075471697,13224.103078395816,13214.761072547579,13228.774081319934,13210.09006962346,13233.445084244053,13205.419066699342
13223.0,13223.0,13221.25,13222.75,72.0,13219.935799187691,13220.994693978475,13219.828903654485,13224.499906578603,13215.157900730366,13229.170909502722,13210.486897806248,13233.84191242684,13205.81589488213
13222.5,13225.5,13222.5,13223.75,79.0,13220.444359296,13221.60698420548,13220.283773861967,13224.954776786086,13215.612770937849,13229.625779710204,13210.94176801373,13234.296782634323,13206.270765089612
13223.5,13223.5,13221.25,13222.25,52.0,13220.685111389867,13221.749876604263,13220.423260572989,13225.094263497107,13215.75225764887,13229.765266421226,13211.081254724751,13234.436269345344,13206.410251800633
13222.25,13222.25,13220.5,13221.75,32.0,13220.827096537885,13221.749904025537,13220.478758169935,13225.149761094053,13215.807755245816,13229.820764018172,13211.136752321698,13234.49176694229,13206.46574939758
13221.75,13221.75,13219.0,13220.5,50.0,13220.783483666168,13221.472147575418,13220.480061349694,13225.151064273812,13215.809058425575,13229.82206719793,13211.138055501457,13234.49307012205,13206.467052577338
13220.75,13221.5,13219.75,13221.0,19.0,13220.812352510678,13221.367225891992,13220.491906474821,13225.16290939894,13215.820903550702,13229.833912323058,13211.149900626584,13234.504915247177,13206.478897702465
13221.0,13222.25,13221.0,13222.25,9.0,13221.00403884259,13221.563397915994,13220.510676156584,13225.181679080702,13215.839673232465,13229.852682004821,13211.168670308347,13234.52368492894,13206.497667384228
13222.5,13222.5,13221.5,13222.0,12.0,13221.136833663579,13221.660420601329,13220.531578947368,13225.202581871486,13215.86057602325,13229.873584795605,13211.189573099131,13234.544587719723,13206.518570175012
13222.75,13224.25,13222.5,13223.25,29.0,13221.418589175102,13222.0136604677,13220.620757918552,13225.29176084267,13215.949754994434,13229.962763766789,13211.278752070315,13234.633766690908,13206.607749146197
13223.0,13223.0,13221.0,13222.75,36.0,13221.596110618422,13222.177291474878,13220.704076086957,13225.375079011075,13216.033073162838,13230.046081935194,13211.36207023872,13234.717084859312,13206.691067314601
13222.75,13222.75,13221.75,13222.0,22.0,13221.649962535965,13222.13789336935,13220.734341825902,13225.405344750021,13216.063338901784,13230.07634767414,13211.392335977665,13234.747350598258,13206.721333053547
13221.75,13221.75,13220.5,13220.75,22.0,13221.529967531169,13221.829472620608,13220.734699170125,13225.405702094244,13216.063696246007,13230.076705018362,13211.392693321888,13234.74770794248,13206.72169039777
13220.75,13222.0,13219.5,13221.25,40.0,13221.492638527014,13221.700700927138,13220.755229083665,13225.426232007783,13216.084226159546,13230.097234931902,13211.413223235428,13234.76823785602,13206.74222031131
13221.75,13222.0,13220.75,13221.25,22.0,13221.460286723413,13221.600545165551,13220.765838206627,13225.436841130746,13216.094835282509,13230.107844054864,13211.42383235839,13234.778846978983,13206.752829434272
13222.0,13222.0,13220.5,13220.5,22.0,13221.332248493625,13221.355979573207,13220.760257633588,13225.431260557707,13216.08925470947,13230.102263481826,13211.418251785351,13234.773266405944,13206.747248861233
13220.75,13222.0,13220.75,13221.75,25.0,13221.387948694475,13221.44353966805,13220.783317800559,13225.454320724677,13216.11231487644,13230.125323648796,13211.441311952321,13234.796326572914,13206.770309028203
13221.5,13221.5,13220.5,13220.5,7.0,13221.269555535213,13221.23386418626,13220.781481481481,13225.4524844056,13216.110478557363,13230.123487329718,13211.439475633244,13234.794490253837,13206.768472709125
13220.75,13220.75,13220.25,13220.25,14.0,13221.133614797185,13221.015227700424,13220.774680073126,13225.445682997244,13216.103677149007,13230.116685921363,13211.432674224889,13234.787688845481,13206.76167130077
13220.5,13222.0,13220.5,13222.0,16.0,13221.249132824229,13221.23406598922,13220.792342342342,13225.46334526646,13216.121339418223,13230.134348190579,13211.450336494105,13234.805351114697,13206.779333569986
13222.25,13222.75,13221.5,13222.0,24.0,13221.349248447666,13221.404273547172,13220.817901234568,13225.488904158687,13216.14689831045,13230.159907082805,13211.475895386331,13234.830910006924,13206.804892462213
13222.5,13223.25,13221.5,13222.75,32.0,13221.536015321311,13221.703323870022,13220.870926243568,13225.541929167686,13216.19992331945,13230.212932091805,13211.52892039533,13234.883935015923,13206.857917471212
13222.5,13224.5,13222.0,13224.5,25.0,13221.93121327847,13222.32480745446,13220.947103274559,13225.618106198677,13216.27610035044,13230.289109122796,13211.605097426322,13234.960112046914,13206.934094502203
13224.0,13227.0,13223.75,13226.75,85.0,13222.573718174674,13223.308183575691,13221.333659874608,13226.004662798727,13216.66265695049,13230.675665722845,13211.991654026371,13235.346668646964,13207.320651102253
13227.0,13227.5,13225.25,13226.75,45.0,13223.130555751384,13224.073031669981,13221.518168054505,13226.189170978623,13216.847165130386,13230.860173902742,13212.176162206268,13235.53117682686,13207.50515928215
13226.75,13227.0,13225.5,13226.5,30.0,13223.579814984532,13224.612357965541,13221.628793486307,13226.299796410425,13216.957790562188,13230.970799334544,13212.28678763807,13235.641802258662,13207.615784713951
13227.5,13227.75,13226.5,13226.75,42.0,13224.002506319928,13225.087389528755,13221.7832017229,13226.454204647018,13217.11219879878,13231.125207571136,13212.441195874662,13235.796210495255,13207.770192950544
13226.75,13227.5,13224.5,13224.5,21.0,13224.068838810605,13224.956858522364,13221.823550212164,13226.494553136283,13217.152547288046,13231.165556060401,13212.481544363927,13235.83655898452,13207.810541439809
13225.0,13225.25,13223.75,13225.25,68.0,13224.22632696919,13225.02200107295,13221.98076923077,13226.651772154888,13217.309766306651,13231.322775079007,13212.638763382532,13235.993778003125,13207.967760458414
13225.5,13225.75,13223.25,13223.5,29.0,13224.129483373299,13224.683778612294,13222.00992720053,13226.680930124649,13217.338924276411,13231.351933048767,13212.667921352293,13236.022935972886,13207.996918428174
13223.75,13224.25,13222.75,13224.0,36.0,13224.112218923527,13224.531827809562,13222.056237879768,13226.727240803886,13217.38523495565,13231.398243728005,13212.71423203153,13236.069246652123,13208.043229107412
13224.25,13225.0,13223.0,13223.5,31.0,13224.030589733724,13224.30253274077,13222.084600760456,13226.755603684574,13217.413597836337,13231.426606608693,13212.742594912219,13236.097609532811,13208.0715919881
13223.5,13224.0,13223.0,13223.0,11.0,13223.893177769227,13224.0130810206,13222.090937696665,13226.761940620783,13217.419934772546,13231.432943544902,13212.748931848428,13236.10394646902,13208.07792892431
13223.5,13223.5,13221.25,13221.75,36.0,13223.60742073333,13223.510174127132,13222.083384615386,13226.754387539504,13217.412381691267,13231.425390463623,13212.741378767148,13236.096393387741,13208.07037584303
13221.75,13223.5,13221.5,13223.5,37.0,13223.593097968886,13223.50791320999,13222.114921780987,13226.785924705106,13217.443918856869,13231.456927629224,13212.77291593275,13236.127930553343,13208.101913008632
13223.0,13224.0,13222.25,13223.5,44.0,13223.580684906368,13223.506154718882,13222.150644783118,13226.821647707236,13217.479641859,13231.492650631355,13212.808638934881,13236.163653555474,13208.137636010762
13223.5,13223.75,13218.25,13219.5,99.0,13223.03659358552,13222.615898114685,13222.005263157895,13226.676266082013,13217.334260233776,13231.347269006132,13212.663257309658,13236.01827193025,13207.99225438554
13219.75,13223.25,13217.75,13222.25,100.0,13222.931714440785,13222.534587422533,13222.01811023622,13226.689113160339,13217.347107312102,13231.360116084457,13212.676104387983,13236.031119008576,13208.005101463865
13222.0,13223.25,13220.5,13223.0,48.0,13222.940819182015,13222.638012439747,13222.042242703534,13226.713245627652,13217.371239779415,13231.38424855177,13212.700236855297,13236.05525147589,13208.029233931178
13222.0,13223.75,13220.75,13223.75,52.0,13223.048709957746,13222.88512078647,13222.086533665835,13226.757536589954,13217.415530741717,13231.428539514072,13212.744527817598,13236.09954243819,13208.07352489348
13223.5,13225.75,13222.5,13224.25,109.0,13223.208881963381,13223.188427278366,13222.198084200567,13226.869087124685,13217.527081276448,13231.540090048804,13212.85607835233,13236.211092972922,13208.185075428211
13224.5,13225.25,13223.75,13224.5,36.0,13223.38103103493,13223.479887883173,13222.236627906977,13226.907630831096,13217.565624982859,13231.578633755214,13212.89462205874,13236.249636679333,13208.223619134622
13224.75,13226.25,13224.75,13225.5,32.0,13223.663560230274,13223.928801686912,13222.28448670944,13226.95548963356,13217.613483785322,13231.626492557678,13212.942480861204,13236.297495481796,13208.271477937085
13226.25,13226.25,13224.25,13224.5,30.0,13223.775085532905,13224.055734645375,13222.314534358047,13226.985537282166,13217.643531433929,13231.656540206284,13212.97252850981,13236.327543130403,13208.301525585692
13224.0,13225.0,13223.75,13224.75,22.0,13223.905074128517,13224.210015835291,13222.33851835273,13227.009521276848,13217.667515428611,13231.680524200967,13212.996512504493,13236.351527125085,13208.325509580374
13224.25,13225.0,13223.5,13225.0,18.0,13224.051064244715,13224.385567871894,13222.359791296625,13227.030794220744,13217.688788372507,13231.701797144862,13213.017785448388,13236.37280006898,13208.34678252427
13224.5,13225.25,13222.75,13223.75,51.0,13224.01092234542,13224.24433056703,13222.390577507598,13227.061580431717,13217.71957458348,13231.732583355835,13213.048571659361,13236.403586279954,13208.377568735243
13223.5,13223.5,13220.75,13221.5,103.0,13223.676132699364,13223.634479329912,13222.352452202826,13227.023455126944,13217.681449278707,13231.694458051063,13213.010446354589,13236.365460975181,13208.33944343047
13221.25,13223.0,13220.5,13221.25,27.0,13223.352648339449,13223.104595034376,13222.34021783806,13227.011220762179,13217.669214913942,13231.682223686297,13212.998211989823,13236.353226610416,13208.327209065705
13220.75,13222.5,13220.25,13220.75,39.0,13223.005628560855,13222.581351693403,13222.315129449838,13226.986132373957,13217.64412652572,13231.657135298075,13212.973123601601,13236.328138222194,13208.302120677483
13220.75,13221.75,13220.0,13221.25,42.0,13222.771544752743,13222.285495761535,13222.297334924424,13226.968337848542,13217.626332000305,13231.639340772661,13212.955329076187,13236.31034369678,13208.284326152068
13221.5,13223.25,13221.5,13221.75,64.0,13222.63533878571,13222.166496703416,13222.283747090769,13226.954750014887,13217.61274416665,13231.625752939006,13212.941741242532,13236.296755863124,13208.270738318413
