Open,High,Low,Close,Volume,EMA,EMAA,vwap,UpperBand1,LowerBand1,UpperBand2,LowerBand2,UpperBand3,LowerBand3
13052.25,13053.0,13049.0,13049.75,103,13052.133333333335,13051.88888888889,13049.75,13060.45829277267,13060.45829277267,13071.166585545341,13071.166585545341,13081.87487831801,13081.87487831801
13050.0,13050.0,13049.5,13049.5,19,13051.782222222224,13051.358024691359,13049.71106557377,13060.41935834644,13060.41935834644,13071.127651119112,13071.127651119112,13081.835943891781,13081.835943891781
13049.5,13050.5,13049.5,13050.5,25,13051.611259259262,13051.167352537725,13049.845238095239,13060.553530867908,13060.553530867908,13071.26182364058,13071.26182364058,13081.97011641325,13081.97011641325
13050.0,13050.0,13049.5,13049.75,14,13051.363091358027,13050.85238530712,13049.83695652174,13060.54524929441,13060.54524929441,13071.253542067081,13071.253542067081,13081.96183483975,13081.96183483975
13049.5,13049.5,13045.0,13045.5,353,13050.581345843624,13049.662966349983,13046.85846303502,13057.56675580769,13057.56675580769,13068.27504858036,13068.27504858036,13078.98334135303,13078.98334135303
13045.5,13047.75,13045.5,13047.0,44,13050.103833064475,13049.071196049987,13046.869623655914,13057.577916428583,13057.577916428583,13068.286209201255,13068.286209201255,13078.994501973924,13078.994501973924
13047.5,13047.5,13046.75,13046.75,17,13049.656655322546,13048.555374705546,13046.866086956521,13057.57437972919,13057.57437972919,13068.282672501862,13068.282672501862,13078.990965274532,13078.990965274532
13047.0,13048.0,13047.0,13047.25,24,13049.335767946206,13048.265291437647,13046.881469115193,13057.589761887863,13057.589761887863,13068.298054660534,13068.298054660534,13079.006347433204,13079.006347433204
13047.5,13049.0,13047.5,13048.75,58,13049.25766555338,13048.373004451503,13047.046423135464,13057.754715908133,13057.754715908133,13068.463008680805,13068.463008680805,13079.171301453474,13079.171301453474
13048.0,13049.5,13047.75,13048.25,60,13049.123310146262,13048.345670128947,13047.147140864714,13057.855433637384,13057.855433637384,13068.563726410055,13068.563726410055,13079.272019182725,13079.272019182725
13048.25,13048.25,13047.0,13047.5,33,13048.906868793427,13048.157743433625,13047.162666666667,13057.870959439337,13057.870959439337,13068.579252212008,13068.579252212008,13079.287544984678,13079.287544984678
13048.0,13048.5,13047.5,13047.5,27,13048.719286287636,13048.011578226153,13047.174388674388,13057.882681447058,13057.882681447058,13068.59097421973,13068.59097421973,13079.299266992399,13079.299266992399
13047.75,13048.25,13047.5,13048.0,24,13048.623381449286,13048.009005287007,13047.199126092384,13057.907418865054,13057.907418865054,13068.615711637725,13068.615711637725,13079.324004410395,13079.324004410395
13048.25,13050.0,13048.25,13049.5,46,13048.740263922715,13048.34033744545,13047.324085005903,13058.032377778572,13058.032377778572,13068.740670551244,13068.740670551244,13079.448963323914,13079.448963323914
13049.25,13049.5,13048.25,13048.5,47,13048.70822873302,13048.375818013128,13047.385906040268,13058.094198812938,13058.094198812938,13068.80249158561,13068.80249158561,13079.51078435828,13079.51078435828
13048.25,13049.25,13048.25,13048.75,13,13048.713798235285,13048.458969565767,13047.40545755237,13058.11375032504,13058.11375032504,13068.82204309771,13068.82204309771,13079.53033587038,13079.53033587038
13048.75,13048.75,13047.5,13048.25,55,13048.65195847058,13048.412531884485,13047.453742203743,13058.162034976413,13058.162034976413,13068.870327749084,13068.870327749084,13079.578620521754,13079.578620521754
13048.25,13048.75,13047.0,13048.75,57,13048.665030674503,13048.487524799044,13047.526251226693,13058.234543999362,13058.234543999362,13068.942836772034,13068.942836772034,13079.651129544704,13079.651129544704
13048.75,13049.25,13048.25,13048.75,24,13048.676359917903,13048.545852621479,13047.554410354745,13058.262703127415,13058.262703127415,13068.970995900087,13068.970995900087,13079.679288672756,13079.679288672756
13049.25,13050.5,13048.75,13050.25,63,13048.886178595516,13048.924552038927,13047.707956600361,13058.416249373031,13058.416249373031,13069.124542145702,13069.124542145702,13079.832834918372,13079.832834918372
13049.75,13051.0,13049.0,13050.25,55,13049.068021449448,13049.219096030276,13047.828380706287,13058.536673478957,13058.536673478957,13069.244966251628,13069.244966251628,13079.953259024298,13079.953259024298
13050.75,13051.0,13050.25,13050.75,15,13049.29228525619,13049.559296912437,13047.865646258504,13058.573939031174,13058.573939031174,13069.282231803845,13069.282231803845,13079.990524576515,13079.990524576515
13050.5,13050.5,13049.0,13049.25,18,13049.28664722203,13049.49056426523,13047.886515912898,13058.594808685568,13058.594808685568,13069.30310145824,13069.30310145824,13080.011394230909,13080.011394230909
13049.5,13050.0,13049.0,13049.0,12,13049.248427592427,13049.381549984068,13047.897595356551,13058.605888129221,13058.605888129221,13069.314180901893,13069.314180901893,13080.022473674562,13080.022473674562
